Lat,Lon,OnOff
38.2909,-73.9859,0
38.0519,-73.2369,1
38.6852,-73.3782,0
38.6102,-72.7071,1
39.2733,-72.8007,0
39.0563,-71.9365,1
39.7441,-72.3923,0
39.493,-71.4196,1
40.1876,-71.2869,0
39.5723,-70.502,1
40.2389,-70.3312,0
39.6927,-69.5761,1
40.2863,-69.0798,0
39.9618,-68.2946,1
40.5997,-68.0266,0
40.1715,-67.2189,1
40.8129,-66.9716,0
40.7466,-66.3056,1
41.4264,-66.2321,0
41.3905,-65.5125,1
42.095,-65.5018,0
41.9879,-64.8014,1
