n,Fish,Radius,ToRing1,ToRing2,ToRing3,ToRing4,ToRing5,ToRing6,ToRing7,ToRing8,ToRing9,ToRing10,ToRing11,ToRing12,ToRing13,ToRing14,ToRing15,ToRing16,ToRing17,ToRing18,ToRing19,ToRing20,ToRing21,ToRing22,ToRing23,ToRing24,Age
57,OR317_0144a.tif,16.7224,11.3911,13.411,15.2063,,,,,,,,,,,,,,,,,,,,,,3
58,OR317_0145a.tif,17.0393,9.119,10.582,12.112,14.4771,,,,,,,,,,,,,,,,,,,,,4
59,OR317_0146c.tif,16.0848,9.9579,11.1064,12.4742,14.1157,,,,,,,,,,,,,,,,,,,,,4
60,OR317_0147a.tif,17.2954,11.0656,12.375,15.2782,,,,,,,,,,,,,,,,,,,,,,3
61,OR317_0148a.tif,15.64,8.4195,9.5269,11.3605,13.6854,,,,,,,,,,,,,,,,,,,,,4
62,OR317_0150b.tif,16.6888,9.955,11.6041,13.1896,14.7697,,,,,,,,,,,,,,,,,,,,,4
63,OR317_0151b.tif,13.1014,10.6781,11.5748,,,,,,,,,,,,,,,,,,,,,,,2
64,OR317_0152a_upperright.tif,12.88,9.9742,11.1454,,,,,,,,,,,,,,,,,,,,,,,2
65,OR317_0159a_upperright.tif,10.5681,7.4568,,,,,,,,,,,,,,,,,,,,,,,,1
66,OR317_0160a_upperright.tif,11.7003,8.021,,,,,,,,,,,,,,,,,,,,,,,,1
67,OR317_0164b.tif,43.3461,10.6767,11.6049,12.3251,13.4206,14.6287,16.3213,17.9151,19.6077,22.355,25.4811,29.1532,33.8661,38.9717,,,,,,,,,,,,13
68,OR317_0168b.tif,49.4598,9.6478,10.5244,11.5827,12.7495,13.6981,15.1941,17.2733,19.9727,23.3646,28.1428,34.7819,43.2289,,,,,,,,,,,,,12
69,OR317_0170b.tif,21.2501,10.0555,11.3462,13.6102,16.6176,,,,,,,,,,,,,,,,,,,,,4
70,OR317_0176b.tif,103.7685,10.2165,11.7295,13.4404,15.3553,17.3194,19.2707,22.0966,26.6612,31.8453,39.8317,50.0649,64.1545,82.2274,,,,,,,,,,,,13
71,OR317_0177_finalC.tif,62.0941,8.6665,10.3498,12.033,14.969,18.2958,22.3243,27.6244,34.0673,45.0791,54.1189,,,,,,,,,,,,,,,10
72,OR317_0178a.tif,26.8615,10.2622,11.5214,13.2279,15.2004,18.3742,22.3331,,,,,,,,,,,,,,,,,,,6
73,OR317_0179d.tif,22.8109,9.5647,10.7362,12.0846,14.2602,17.4462,21.2048,,,,,,,,,,,,,,,,,,,6
74,OR317_0180b.tif,59.727,9.9917,10.695,11.6717,13.1737,15.0632,16.934,18.9164,21.7534,25.482,29.3327,34.1096,39.1191,46.61,54.7448,,,,,,,,,,,14
75,OR317_0181d.tif,56.2297,10.8153,11.8848,13.223,14.9711,16.7513,19.1589,22.0277,26.9325,32.3775,38.584,46.9424,,,,,,,,,,,,,,11
76,OR317_0182a.tif,15.0479,11.5054,12.7684,,,,,,,,,,,,,,,,,,,,,,,2
77,OR317_0183b_right.tif,12.1187,10.5432,,,,,,,,,,,,,,,,,,,,,,,,1
78,OR317_0184a.tif,40.9836,10.3061,11.4834,13.1957,15.2036,17.5732,19.5327,22.2745,25.9464,30.008,35.7107,,,,,,,,,,,,,,,10
79,OR317_0185a.tif,16.2813,9.5141,10.9077,12.4606,14.5569,,,,,,,,,,,,,,,,,,,,,4
80,OR317_0188b_secondfrombottomoto.tif,12.767,10.8692,,,,,,,,,,,,,,,,,,,,,,,,1
81,OR317_0189d_upperleft.tif,13.1144,10.7472,,,,,,,,,,,,,,,,,,,,,,,,1
82,OR317_0191d.tif,30.4212,10.9141,12.0374,13.5709,15.7108,18.3219,20.3736,23.0488,26.7209,,,,,,,,,,,,,,,,,8
83,OR317_0193c.tif,33.2105,10.9083,11.6683,12.7457,14.8248,16.5138,18.4939,22.1136,26.6677,,,,,,,,,,,,,,,,,8
84,OR317_0195b.tif,57.2759,9.9295,11.2579,13.2585,15.5478,18.777,22.4633,28.4228,35.8896,44.8736,,,,,,,,,,,,,,,,9
85,OR317_0196c.tif,36.5029,8.9857,9.9083,11.5449,13.6462,15.9273,18.4425,21.6496,26.149,31.6626,,,,,,,,,,,,,,,,9
86,OR317_0198a.tif,22.4586,10.4033,11.6174,13.0546,15.4003,19.3268,,,,,,,,,,,,,,,,,,,,5
87,OR317_0200d.tif,15.5594,10.5195,11.5198,13.9171,,,,,,,,,,,,,,,,,,,,,,3
88,OR317_0201a.tif,22.3561,9.6694,11.1325,13.3082,15.4728,18.4257,,,,,,,,,,,,,,,,,,,,5
89,OR317_0206a.tif,28.6684,11.0174,12.9862,15.3938,17.8006,21.4475,25.8258,,,,,,,,,,,,,,,,,,,6
90,OR317_0207a_bottomright.tif,10.7558,8.2373,,,,,,,,,,,,,,,,,,,,,,,,1
91,OR317_0210a_top.tif,10.7244,8.9996,,,,,,,,,,,,,,,,,,,,,,,,1
92,OR317_0212a.tif,26.8638,9.2414,10.6878,11.9978,14.0248,16.3272,19.8302,23.9893,,,,,,,,,,,,,,,,,,7
93,OR317_0213b.tif,26.2661,9.4787,10.0557,11.1703,12.5232,14.7809,17.9085,22.4566,,,,,,,,,,,,,,,,,,7
94,OR317_0214b_upperright.tif,12.0328,,,,,,,,,,,,,,,,,,,,,,,,,0
95,OR317_0216b.tif,11.8419,,,,,,,,,,,,,,,,,,,,,,,,,0
96,OR317_0222a.tif,35.6052,9.3712,10.1863,11.4166,12.7183,14.4353,15.9918,18.2233,21.4433,25.8008,31.4041,,,,,,,,,,,,,,,10
97,OR317_0223b.tif,29.9757,10.2506,11.2762,13.2635,15.7292,17.8176,19.9963,24.5237,,,,,,,,,,,,,,,,,,7
98,OR317_0224c.tif,37.8678,11.5199,12.7628,15.3138,18.8874,24.0701,29.3242,36.109,,,,,,,,,,,,,,,,,,7
99,OR317_0225c_diffoto.tif,32.9998,9.7893,10.8413,12.8018,15.2484,17.8997,22.2086,27.4501,,,,,,,,,,,,,,,,,,7
100,OR317_0226c.tif,30.3472,11.9606,13.1272,16.1887,20.2742,24.7981,,,,,,,,,,,,,,,,,,,,5
101,OR317_0227a.tif,32.5713,10.6856,11.995,13.8175,15.905,18.9834,23.1056,28.095,,,,,,,,,,,,,,,,,,7
102,OR317_0228d.tif,29.723,9.9641,11.0022,12.5421,14.7221,17.335,20.9675,25.4663,,,,,,,,,,,,,,,,,,7
103,OR317_0230b.tif,35.994,9.2415,10.3858,12.1456,14.5347,18.1827,22.7319,27.8251,,,,,,,,,,,,,,,,,,7
104,OR317_0231d.tif,30.8716,9.8136,10.82,12.6641,15.5901,18.967,23.0229,27.2855,,,,,,,,,,,,,,,,,,7
105,OR317_0232b.tif,32.1205,9.3584,10.3817,12.2068,14.0992,17.0177,21.2539,26.362,,,,,,,,,,,,,,,,,,7
106,OR317_0233d.tif,34.0199,11.2972,12.8071,14.5325,17.1593,20.4437,24.2649,29.388,,,,,,,,,,,,,,,,,,7
107,OR317_0234c.tif,29.5089,9.3809,10.6729,11.8672,13.7275,16.0474,18.7835,23.2188,,,,,,,,,,,,,,,,,,7
108,OR317_0238b.tif,28.9278,9.0832,9.9249,11.2238,12.7204,15.0183,17.8542,21.5111,25.5432,,,,,,,,,,,,,,,,,8
109,OR317_0240c.tif,30.1265,9.9428,11.0492,12.8021,15.732,18.9615,21.8677,26.2047,,,,,,,,,,,,,,,,,,7
110,OR317_0241a_upperright.tif,12.3373,8.2236,9.2877,10.3392,,,,,,,,,,,,,,,,,,,,,,3
111,OR317_0242a_bottomleft.tif,11.4896,7.9847,9.0799,,,,,,,,,,,,,,,,,,,,,,,2
112,OR317_0243c.tif,44.3455,10.1505,10.8802,12.4726,14.6486,17.4219,21.2312,26.6846,32.9606,40.1782,,,,,,,,,,,,,,,,9
113,OR317_0244b.tif,44.0856,10.077,11.0799,12.6315,14.6771,17.234,20.679,26.5661,32.5281,41.9484,,,,,,,,,,,,,,,,9
114,OR317_0245a.tif,26.8706,10.6781,11.8014,13.1853,14.9318,17.7495,21.3302,25.1028,,,,,,,,,,,,,,,,,,7
115,OR317_0246b.tif,24.2352,10.5545,11.6539,13.5505,16.07,18.6012,21.7482,,,,,,,,,,,,,,,,,,,6
116,OR317_0247a.tif,22.161,10.6744,11.5549,13.099,15.7,17.813,20.5899,,,,,,,,,,,,,,,,,,,6
117,OR317_0249a.tif,22.4616,12.3738,13.9293,16.1341,18.5878,,,,,,,,,,,,,,,,,,,,,4
118,OR317_0251b.tif,33.6103,10.9859,12.5039,14.5462,17.3732,21.0969,26.3481,30.7121,,,,,,,,,,,,,,,,,,7
119,OR317_0254a.tif,26.5718,10.5942,11.4002,12.5747,14.4097,16.6125,20.7966,24.6864,,,,,,,,,,,,,,,,,,7
120,OR317_0256b.tif,29.4419,9.5841,10.6284,11.8299,13.6756,15.993,19.2408,23.418,27.7383,,,,,,,,,,,,,,,,,8
121,OR317_0260b.tif,21.1714,10.2879,11.7197,14.157,16.7912,19.6948,,,,,,,,,,,,,,,,,,,,5
122,OR317_0263b.tif,21.0847,9.6595,10.7475,12.1808,14.2109,17.1833,19.9034,,,,,,,,,,,,,,,,,,,6
123,OR317_0266a.tif,23.5592,10.9644,11.9885,13.5084,16.1142,17.9798,21.7773,,,,,,,,,,,,,,,,,,,6
124,OR317_0267a_diffoto.tif,22.2553,10.7452,12.4387,15.2082,17.9438,21.0559,,,,,,,,,,,,,,,,,,,,5
125,OR317_0269a.tif,20.82,9.5069,10.5647,11.9146,13.7324,16.3196,19.4376,,,,,,,,,,,,,,,,,,,6
126,OR317_0270a.tif,19.9099,10.0611,11.0696,12.4277,14.9816,18.0764,,,,,,,,,,,,,,,,,,,,5
127,OR317_0271a.tif,22.0533,10.5753,11.5573,12.8443,14.609,17.5019,20.2486,,,,,,,,,,,,,,,,,,,6
128,OR317_0272b.tif,20.4584,11.1239,12.5805,14.191,16.3883,19.3197,,,,,,,,,,,,,,,,,,,,5
129,OR317_0273a.tif,22.9465,11.0432,12.6809,14.6508,17.5572,20.6033,,,,,,,,,,,,,,,,,,,,5
130,OR317_0275c.tif,21.5671,10.1243,11.2587,13.5301,16.4129,19.8237,,,,,,,,,,,,,,,,,,,,5
131,OR317_0277a.tif,21.7875,11.2689,12.5838,14.4525,17.4743,19.8962,,,,,,,,,,,,,,,,,,,,5
132,OR317_0278c.tif,22.084,10.4217,11.4688,12.9498,15.1924,17.8142,20.5031,,,,,,,,,,,,,,,,,,,6
133,OR317_0279a.tif,20.3114,11.004,12.5479,14.8533,17.0474,19.6819,,,,,,,,,,,,,,,,,,,,5
134,OR317_0280d.tif,43.9361,9.3088,10.5879,12.1343,14.261,17.5561,21.2445,25.8531,31.9507,39.5222,,,,,,,,,,,,,,,,9
135,OR317_0281a.tif,32.0206,9.4006,10.2782,11.6806,13.8974,16.6751,19.7785,23.3976,28.6274,,,,,,,,,,,,,,,,,8
136,OR317_0282a.tif,20.68,8.5722,9.5844,10.8344,12.5796,14.0171,17.1824,,,,,,,,,,,,,,,,,,,6
137,OR317_0284c.tif,44.9181,10.4841,11.5949,13.9651,16.6069,20.8882,24.2071,29.828,37.17,,,,,,,,,,,,,,,,,8
138,OR317_0286d.tif,38.7585,9.8251,10.9394,12.6152,15.1553,18.5396,23.0628,28.8397,34.6247,,,,,,,,,,,,,,,,,8
139,OR317_0288d.tif,42.8935,10.604,11.8149,13.6661,16.8522,20.9497,26.5551,33.2526,41.1585,,,,,,,,,,,,,,,,,8
140,OR317_0289b.tif,40.3714,10.3348,11.4872,13.0747,14.988,17.4021,20.2426,23.5291,28.4075,34.1518,,,,,,,,,,,,,,,,9
141,OR317_0290b.tif,22.9208,10.844,11.879,13.6355,15.9074,18.8472,,,,,,,,,,,,,,,,,,,,5
142,OR317_0293b.tif,17.1832,12.5352,14.5627,,,,,,,,,,,,,,,,,,,,,,,2
143,OR317_0236a.tif,30.3546,11.9598,12.9808,14.9497,18.0161,21.1,25.0345,,,,,,,,,,,,,,,,,,,6
