n,Fish,Radius,ToRing1,ToRing2,ToRing3,ToRing4,ToRing5,ToRing6,ToRing7,ToRing8,ToRing9,ToRing10,ToRing11,ToRing12,ToRing13,ToRing14,ToRing15,ToRing16,ToRing17,ToRing18,ToRing19,ToRing20,ToRing21,ToRing22,ToRing23,ToRing24,Age
1,OR317_0073a.tif,26.7843,9.6709,11.1982,12.9823,14.8487,16.6196,19.1031,21.6756,24.987,,,,,,,,,,,,,,,,,8
2,OR317_0074a_bottom.tif,12.6932,11.6009,,,,,,,,,,,,,,,,,,,,,,,,1
3,OR317_0075a_diffoto.tif,33.8863,10.9332,12.3276,13.8973,15.2677,17.4894,19.7049,23.2306,27.3117,32.3769,,,,,,,,,,,,,,,,9
4,OR317_0076c.tif,44.1086,10.9335,12.4282,14.4893,16.9685,20.3723,24.5018,29.9703,36.1048,,,,,,,,,,,,,,,,,8
5,OR317_0077a.tif,29.4633,11.7256,13.4843,14.6794,17.479,20.8203,24.5394,,,,,,,,,,,,,,,,,,,6
6,OR317_0078a.tif,21.8624,8.6425,9.4692,10.5103,12.2195,13.8728,15.4558,18.4156,,,,,,,,,,,,,,,,,,7
7,OR317_0082b.tif,46.7616,9.5917,10.7856,12.2013,13.467,14.9583,16.6998,19.0195,22.3536,26.3596,30.8029,35.6373,42.2079,,,,,,,,,,,,,12
8,OR317_0083d.tif,36.1003,11.2892,12.1109,13.5804,15.6424,17.4236,19.5706,22.4362,25.0687,27.9098,31.1116,,,,,,,,,,,,,,,10
9,OR317_0084c.tif,33.5645,10.5508,11.6436,13.3531,15.1183,16.5953,18.2745,20.2471,21.8352,23.9748,26.7364,29.316,32.1586,,,,,,,,,,,,,12
10,OR317_0080b_diffoto.tif,25.9988,10.4355,12.0594,13.7169,15.6514,18.2026,20.9972,23.8505,,,,,,,,,,,,,,,,,,7
11,OR317_0086a.tif,37.7399,9.4245,10.7062,11.674,12.7944,13.8428,15.5785,17.0488,18.5143,20.9078,23.7448,27.3609,30.9432,35.3312,,,,,,,,,,,,13
12,OR317_0088a.tif,34.8598,9.2201,10.054,11.1065,12.4217,13.925,15.7284,17.8028,20.1096,23.123,26.2347,28.9093,32.992,,,,,,,,,,,,,12
13,OR317_0089a.tif,41.4395,10.1014,11.5666,12.8043,15.2205,17.1953,19.6753,22.619,27.2104,31.0234,35.2643,39.3415,,,,,,,,,,,,,,11
14,OR317_0090a.tif,38.0902,10.0262,10.9788,12.9129,15.0093,16.9807,19.0482,21.3524,23.9688,26.8472,30.2289,33.6647,36.8691,,,,,,,,,,,,,12
15,OR317_0092c.tif,41.6961,9.8445,10.9647,12.2197,13.6357,15.4426,17.1806,19.2241,21.8786,25.3217,28.9092,33.1408,38.1346,,,,,,,,,,,,,12
16,OR317_0094a.tif,35.1993,11.7051,13.5047,14.78,16.4734,18.4928,21.171,24.8693,29.1064,33.492,,,,,,,,,,,,,,,,9
17,OR317_0096a.tif,38.671,11.3072,12.9242,14.8879,16.3649,17.8812,20.0855,23.045,26.6034,30.0049,33.1996,,,,,,,,,,,,,,,10
18,OR317_0098a.tif,44.0243,10.0752,11.0763,12.5003,14.067,15.9622,18.6345,20.9526,23.7063,27.6981,32.1918,37.7503,,,,,,,,,,,,,,11
19,OR317_0099a.tif,36.5416,10.8696,11.9181,13.2474,14.3325,15.7045,17.127,19.2102,21.466,23.9873,27.1771,31.8396,,,,,,,,,,,,,,11
20,OR317_0100c.tif,35.7323,11.4765,13.1435,14.6156,16.4777,18.2113,20.2351,22.7452,26.039,29.2922,31.6109,33.995,,,,,,,,,,,,,,11
21,OR317_0101c.tif,35.8717,9.4018,10.5166,12.1387,13.8109,15.4123,17.4005,19.6674,21.8429,23.7771,26.4225,29.1844,32.978,,,,,,,,,,,,,12
22,OR317_0102a.tif,52.7696,10.7678,12.1966,14.1756,16.5723,18.9781,21.8356,25.7042,30.5097,35.6214,40.962,47.4653,,,,,,,,,,,,,,11
23,OR317_0103b.tif,49.0874,11.1006,12.5018,14.3766,16.8374,20.1135,23.3743,27.7964,32.2444,37.0795,45.7151,,,,,,,,,,,,,,,10
24,OR317_0104a.tif,52.4104,10.6988,11.7906,14.2748,16.575,19.7373,23.5577,27.9211,32.773,39.5888,46.9559,,,,,,,,,,,,,,,10
25,OR317_0105a.tif,40.9168,11.5448,13.1319,14.8891,17.1863,19.2682,21.851,24.6366,28.5881,32.0838,37.574,,,,,,,,,,,,,,,10
26,OR317_0106d.tif,40.718,10.0588,11.7009,13.4553,15.4789,17.0103,19.0885,21.3856,25.1103,28.5012,32.7167,37.5224,,,,,,,,,,,,,,11
27,OR317_0107c.tif,39.1904,10.6785,12.4493,14.3977,16.834,19.2773,22.2282,25.8783,29.5426,33.3408,36.9163,,,,,,,,,,,,,,,10
28,OR317_0108c.tif,42.9993,9.3102,10.5335,12.261,14.1061,15.7058,17.8339,20.3779,22.6599,26.2846,30.2985,34.6064,39.5714,,,,,,,,,,,,,12
29,OR317_0110b.tif,31.9745,10.9534,12.1878,13.8361,15.3739,16.6901,18.5315,20.6803,22.7017,24.6783,27.2126,30.3578,,,,,,,,,,,,,,11
30,OR317_0111a.tif,38.9713,10.1443,11.2968,12.6418,14.3315,16.2398,18.0778,20.5752,23.1911,25.7666,28.138,31.347,35.8768,,,,,,,,,,,,,12
31,OR317_0113a.tif,44.2507,11.2264,12.1912,13.458,14.7555,16.698,18.4792,21.0333,23.8664,27.5466,32.4908,38.2006,,,,,,,,,,,,,,11
32,OR317_0116a.tif,25.2761,10.613,11.9271,13.2949,14.9907,16.7963,18.6556,22.376,,,,,,,,,,,,,,,,,,7
33,OR317_0117a.tif,23.636,10.4121,11.3813,12.7982,15.1184,17.0762,19.0614,21.5903,,,,,,,,,,,,,,,,,,7
34,OR317_0118b.tif,25.0947,11.2705,12.5357,14.2104,16.2092,18.4485,20.6176,23.5149,,,,,,,,,,,,,,,,,,7
35,OR317_0119b.tif,24.9516,10.8021,12.1879,13.795,15.7643,17.7348,19.9242,22.9056,,,,,,,,,,,,,,,,,,7
36,OR317_0120b.tif,20.776,10.5277,11.5656,13.1149,14.7375,16.4808,18.4973,,,,,,,,,,,,,,,,,,,6
37,OR317_0121d.tif,16.8561,9.8136,11.0264,12.4985,14.2573,,,,,,,,,,,,,,,,,,,,,4
38,OR317_0122b.tif,36.6079,8.8671,9.8646,11.4118,13.6782,15.7548,19.0663,22.3779,26.5783,30.9146,,,,,,,,,,,,,,,,9
39,OR317_0124b.tif,23.1162,12.3747,14.5439,17.5775,21.329,,,,,,,,,,,,,,,,,,,,,4
40,OR317_0125a.tif,16.6038,11.7129,12.9362,14.9329,,,,,,,,,,,,,,,,,,,,,,3
41,OR317_0127b_diffoto.tif,23.4754,10.913,12.0049,13.3283,14.8355,17.2863,20.5501,,,,,,,,,,,,,,,,,,,6
42,OR317_0128d.tif,18.1288,11.3508,12.2146,13.8095,16.2109,,,,,,,,,,,,,,,,,,,,,4
43,OR317_0129a.tif,16.0718,11.5086,14.1321,,,,,,,,,,,,,,,,,,,,,,,2
44,OR317_0130c.tif,28.8434,10.8327,11.7796,13.1873,14.7082,16.7699,19.4153,22.7363,26.3541,,,,,,,,,,,,,,,,,8
45,OR317_0131b_diffoto.tif,27.0045,11.5043,12.4339,14.242,16.1047,18.5635,21.5234,24.9754,,,,,,,,,,,,,,,,,,7
46,OR317_0132b.tif,26.1122,10.269,11.56,12.8593,14.6375,16.4777,19.5167,23.7077,,,,,,,,,,,,,,,,,,7
47,OR317_0133c.tif,20.7513,11.0536,12.0333,13.6251,15.873,18.6085,,,,,,,,,,,,,,,,,,,,5
48,OR317_0134a.tif,23.1801,10.4044,11.7173,13.6896,15.5402,18.1911,20.9957,,,,,,,,,,,,,,,,,,,6
49,OR317_0135a.tif,22.0492,10.3928,11.7068,12.9098,14.5521,16.6852,19.7493,,,,,,,,,,,,,,,,,,,6
50,OR317_0136d.tif,21.2807,9.7514,10.6879,11.8958,13.5651,15.7773,18.0167,20.3918,,,,,,,,,,,,,,,,,,7
51,OR317_0137a.tif,23.3876,9.926,10.6082,11.9371,13.5866,15.8225,18.5407,21.0487,,,,,,,,,,,,,,,,,,7
52,OR317_0138b.tif,24.7512,10.1599,10.8642,12.0942,13.4096,15.5835,18.3846,21.7563,,,,,,,,,,,,,,,,,,7
53,OR317_0139a.tif,23.4804,11.6883,12.7614,14.919,17.8787,21.3861,,,,,,,,,,,,,,,,,,,,5
54,OR317_0140a.tif,20.0116,9.7665,10.6974,11.8461,13.8767,16.6205,18.7761,,,,,,,,,,,,,,,,,,,6
55,OR317_0141c.tif,20.2715,9.6804,10.841,12.3568,14.3844,16.0477,18.0828,,,,,,,,,,,,,,,,,,,6
56,OR317_0142a.tif,17.8923,11.2698,12.7468,15.5383,,,,,,,,,,,,,,,,,,,,,,3
