VESSEL,CRUISE,P_STA_NO,SEAMAP,SAMPLE_NO,STA_LAT,STA_LON,STA_DPTH,GEAR_IN,GEAR_OUT,TOW_TIME,TOW_PAT,GEAR_ICD,MESH_ICD,VOL_FILT,TAXON,TOT_LARVAE,TAXA_NOTES,SAMPLE_NOTES,COMMENTS,DEPTH_ESRF,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,OXYSURF,OXYMID,OXYMAX
04,0317,010,B147,50441,26.0063,-84.5002,223.44,02MAY2016:02:01:42,02MAY2016:02:11:40,9.96,H,03,09,.,Katsuwonus pelamis,2,,,,2,102,203,224,25.91,20.61,17.53,36.411,36.523,36.36,6.5,5.9,4.3
04,0317,010,B147,50441,26.0063,-84.5002,223.44,02MAY2016:02:01:42,02MAY2016:02:11:40,9.96,H,03,09,.,Thunnus spp,9,,,,2,102,203,224,25.91,20.61,17.53,36.411,36.523,36.36,6.5,5.9,4.3
04,0317,010,B147,50441,26.0063,-84.5002,223.44,02MAY2016:02:01:42,02MAY2016:02:11:40,9.96,H,03,09,.,Thunnus thynnus,0,,,,2,102,203,224,25.91,20.61,17.53,36.411,36.523,36.36,6.5,5.9,4.3
04,0317,011,B131,50446,26.0050,-84.0052,139.89,02MAY2016:05:47:08,02MAY2016:05:57:13,10.08,H,03,09,.,Katsuwonus pelamis,0,,220MM 120MM AND 130 MM EXOCOETIDAE REMOVED FROM NEUSTON,,3,70,140,142,26.94,23.07,20.01,36.483,36.734,36.431,6.4,5.1,5.9
04,0317,011,B131,50446,26.0050,-84.0052,139.89,02MAY2016:05:47:08,02MAY2016:05:57:13,10.08,H,03,09,.,Thunnus spp,1,,220MM 120MM AND 130 MM EXOCOETIDAE REMOVED FROM NEUSTON,,3,70,140,142,26.94,23.07,20.01,36.483,36.734,36.431,6.4,5.1,5.9
04,0317,011,B131,50446,26.0050,-84.0052,139.89,02MAY2016:05:47:08,02MAY2016:05:57:13,10.08,H,03,09,.,Thunnus thynnus,0,,220MM 120MM AND 130 MM EXOCOETIDAE REMOVED FROM NEUSTON,,3,70,140,142,26.94,23.07,20.01,36.483,36.734,36.431,6.4,5.1,5.9
04,0317,012,B130,50451,25.5103,-83.9950,140.17,02MAY2016:09:38:50,02MAY2016:09:48:52,10.03,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,2,69,138,139,27.2,23.67,19.61,36.41,36.731,36.617,6.4,5.3,4.7
04,0317,013,B129,50456,25.0048,-84.0025,128.34,02MAY2016:13:55:41,02MAY2016:14:05:43,10.03,H,03,09,.,NO TUNA LARVAE CAUGH,0,,,,3,64,127,128,27.52,26.53,24.14,36.349,36.407,36.722,6.4,6,5.3
04,0317,014,B128,50461,24.5038,-83.9930,2125.79,02MAY2016:17:35:16,02MAY2016:17:45:17,10.01,H,03,09,.,Katsuwonus pelamis,0,,,,2,103,206,2117,28.02,26.6,20.57,36.332,36.351,36.783,6.4,6.2,4.7
04,0317,014,B128,50461,24.5038,-83.9930,2125.79,02MAY2016:17:35:16,02MAY2016:17:45:17,10.01,H,03,09,.,Thunnus spp,1,,,,2,103,206,2117,28.02,26.6,20.57,36.332,36.351,36.783,6.4,6.2,4.7
04,0317,014,B128,50461,24.5038,-83.9930,2125.79,02MAY2016:17:35:16,02MAY2016:17:45:17,10.01,H,03,09,.,Thunnus thynnus,0,,,,2,103,206,2117,28.02,26.6,20.57,36.332,36.351,36.783,6.4,6.2,4.7
04,0317,015,B125,50466,24.4967,-83.4982,303.63,02MAY2016:21:30:57,02MAY2016:21:40:58,10.01,H,03,09,.,Katsuwonus pelamis,0,,,,3,101,201,291,27.87,26.58,11.98,36.336,36.436,35.495,6.3,6.2,3.9
04,0317,015,B125,50466,24.4967,-83.4982,303.63,02MAY2016:21:30:57,02MAY2016:21:40:58,10.01,H,03,09,.,Thunnus spp,1,,,,3,101,201,291,27.87,26.58,11.98,36.336,36.436,35.495,6.3,6.2,3.9
04,0317,015,B125,50466,24.4967,-83.4982,303.63,02MAY2016:21:30:57,02MAY2016:21:40:58,10.01,H,03,09,.,Thunnus thynnus,0,,,,3,101,201,291,27.87,26.58,11.98,36.336,36.436,35.495,6.3,6.2,3.9
