CRUISE_PK_SEQ,STATION_PK_SEQ,CRUISE_NAME,STATION,STATION_COMMENT,DOE,DOC,UOE,UOC
414,38721,GU1608,0124,,22-JUL-16,,PLANKTON,
414,38722,GU1608,0125,,22-JUL-16,,PLANKTON,
414,38723,GU1608,0126,,22-JUL-16,,PLANKTON,
414,38724,GU1608,0127,,22-JUL-16,,PLANKTON,
414,38725,GU1608,0128,,22-JUL-16,,PLANKTON,
414,38726,GU1608,0129,,22-JUL-16,,PLANKTON,
414,38727,GU1608,0130,,22-JUL-16,,PLANKTON,
414,38728,GU1608,0133,,22-JUL-16,,PLANKTON,
414,38729,GU1608,0135,,22-JUL-16,,PLANKTON,
414,38730,GU1608,0136,,22-JUL-16,,PLANKTON,
414,38731,GU1608,0137,,22-JUL-16,,PLANKTON,
414,38732,GU1608,0138,,22-JUL-16,,PLANKTON,
414,38733,GU1608,0139,,22-JUL-16,,PLANKTON,
414,38734,GU1608,0140,,22-JUL-16,,PLANKTON,
414,38735,GU1608,0141,,22-JUL-16,,PLANKTON,
414,38736,GU1608,0142,,22-JUL-16,,PLANKTON,
414,38737,GU1608,0143,,22-JUL-16,,PLANKTON,
414,38738,GU1608,0144,,22-JUL-16,,PLANKTON,
414,38739,GU1608,0145,,22-JUL-16,,PLANKTON,
414,38740,GU1608,0146,,22-JUL-16,,PLANKTON,
414,38741,GU1608,0147,,22-JUL-16,,PLANKTON,
414,38742,GU1608,0148,,22-JUL-16,,PLANKTON,
414,38743,GU1608,0149,,22-JUL-16,,PLANKTON,
414,38744,GU1608,0150,,22-JUL-16,,PLANKTON,
414,38745,GU1608,0152,,22-JUL-16,,PLANKTON,
414,38746,GU1608,0153,,22-JUL-16,,PLANKTON,
414,38747,GU1608,0154,,22-JUL-16,,PLANKTON,
414,38748,GU1608,0155,,22-JUL-16,,PLANKTON,
414,38749,GU1608,0156,,22-JUL-16,,PLANKTON,
414,38750,GU1608,0157,,22-JUL-16,,PLANKTON,
414,38751,GU1608,0158,,22-JUL-16,,PLANKTON,
414,38752,GU1608,0159,,22-JUL-16,,PLANKTON,
414,38753,GU1608,0160,,22-JUL-16,,PLANKTON,
414,38754,GU1608,0161,,22-JUL-16,,PLANKTON,
414,38755,GU1608,0162,,22-JUL-16,,PLANKTON,
414,38756,GU1608,0163,,22-JUL-16,,PLANKTON,
414,38757,GU1608,0164,,22-JUL-16,,PLANKTON,
414,38758,GU1608,0166,,22-JUL-16,,PLANKTON,
414,38759,GU1608,0168,,22-JUL-16,,PLANKTON,
414,38760,GU1608,0169,,22-JUL-16,,PLANKTON,
414,38761,GU1608,0170,,22-JUL-16,,PLANKTON,
414,38762,GU1608,0171,,22-JUL-16,,PLANKTON,
414,38763,GU1608,0172,,22-JUL-16,,PLANKTON,
414,38764,GU1608,0173,,22-JUL-16,,PLANKTON,
414,38765,GU1608,0174,,22-JUL-16,,PLANKTON,
414,38766,GU1608,0175,,22-JUL-16,,PLANKTON,
414,38767,GU1608,0176,,22-JUL-16,,PLANKTON,
414,38768,GU1608,0177,,22-JUL-16,,PLANKTON,
414,38769,GU1608,0178,,22-JUL-16,,PLANKTON,
414,38770,GU1608,0179,,22-JUL-16,,PLANKTON,
414,38771,GU1608,0180,,22-JUL-16,,PLANKTON,
414,38772,GU1608,0181,,22-JUL-16,,PLANKTON,
414,38773,GU1608,0182,,22-JUL-16,,PLANKTON,
414,38774,GU1608,0183,,22-JUL-16,,PLANKTON,
414,38775,GU1608,0184,,22-JUL-16,,PLANKTON,
414,38776,GU1608,0185,,22-JUL-16,,PLANKTON,
414,38777,GU1608,0186,,22-JUL-16,,PLANKTON,
414,38778,GU1608,0187,,22-JUL-16,,PLANKTON,
414,38779,GU1608,0188,,22-JUL-16,,PLANKTON,
414,38780,GU1608,0189,,22-JUL-16,,PLANKTON,
414,38781,GU1608,0190,,22-JUL-16,,PLANKTON,
414,38782,GU1608,0191,,22-JUL-16,,PLANKTON,
414,38783,GU1608,0192,,22-JUL-16,,PLANKTON,
414,38784,GU1608,0193,,22-JUL-16,,PLANKTON,
414,38785,GU1608,0194,,22-JUL-16,,PLANKTON,
414,38786,GU1608,0195,,22-JUL-16,,PLANKTON,
414,38787,GU1608,0196,,22-JUL-16,,PLANKTON,
414,38788,GU1608,0197,,22-JUL-16,,PLANKTON,
414,38789,GU1608,0198,,22-JUL-16,,PLANKTON,
414,38790,GU1608,0199,,22-JUL-16,,PLANKTON,
414,38791,GU1608,0200,,22-JUL-16,,PLANKTON,
414,38792,GU1608,0201,,22-JUL-16,,PLANKTON,
414,38793,GU1608,0202,,22-JUL-16,,PLANKTON,
414,38794,GU1608,0203,,22-JUL-16,,PLANKTON,
414,38795,GU1608,0204,,22-JUL-16,,PLANKTON,
414,38796,GU1608,0205,,22-JUL-16,,PLANKTON,
414,38797,GU1608,0206,,22-JUL-16,,PLANKTON,
414,38798,GU1608,0207,,22-JUL-16,,PLANKTON,
414,38799,GU1608,0208,,22-JUL-16,,PLANKTON,
414,38800,GU1608,0209,,22-JUL-16,,PLANKTON,
414,38801,GU1608,0210,,22-JUL-16,,PLANKTON,
414,38802,GU1608,0211,,22-JUL-16,,PLANKTON,
414,38803,GU1608,0212,,22-JUL-16,,PLANKTON,
414,38804,GU1608,0213,,22-JUL-16,,PLANKTON,
414,38805,GU1608,0214,,22-JUL-16,,PLANKTON,
414,38806,GU1608,0215,,22-JUL-16,,PLANKTON,
414,38807,GU1608,0216,,22-JUL-16,,PLANKTON,
414,38808,GU1608,0217,,22-JUL-16,,PLANKTON,
414,38809,GU1608,0218,,22-JUL-16,,PLANKTON,
414,38810,GU1608,0219,,22-JUL-16,,PLANKTON,
414,38811,GU1608,0220,,22-JUL-16,,PLANKTON,
414,38812,GU1608,0221,,22-JUL-16,,PLANKTON,
414,38813,GU1608,0222,,22-JUL-16,,PLANKTON,
414,38814,GU1608,0223,,22-JUL-16,,PLANKTON,
414,38815,GU1608,0224,,22-JUL-16,,PLANKTON,
414,38816,GU1608,0225,,22-JUL-16,,PLANKTON,
414,38817,GU1608,0226,,22-JUL-16,,PLANKTON,
414,38818,GU1608,0227,,22-JUL-16,,PLANKTON,
414,38819,GU1608,0228,,22-JUL-16,,PLANKTON,
414,38820,GU1608,0229,,22-JUL-16,,PLANKTON,
414,38821,GU1608,0230,,22-JUL-16,,PLANKTON,
414,38822,GU1608,0231,,22-JUL-16,,PLANKTON,
414,38823,GU1608,0232,,22-JUL-16,,PLANKTON,
414,38824,GU1608,0233,,22-JUL-16,,PLANKTON,
414,38825,GU1608,0234,,22-JUL-16,,PLANKTON,
414,38826,GU1608,0235,,22-JUL-16,,PLANKTON,
414,38827,GU1608,0236,,22-JUL-16,,PLANKTON,
414,38828,GU1608,0237,,22-JUL-16,,PLANKTON,
414,38829,GU1608,0238,,22-JUL-16,,PLANKTON,
414,38830,GU1608,0239,,22-JUL-16,,PLANKTON,
414,38831,GU1608,0240,,22-JUL-16,,PLANKTON,
414,38832,GU1608,0241,,22-JUL-16,,PLANKTON,
420,39063,HB1603,0002,,11-JAN-17,,PLANKTON,
420,39064,HB1603,0003,,11-JAN-17,,PLANKTON,
420,39065,HB1603,0004,,11-JAN-17,,PLANKTON,
420,39066,HB1603,0009,,11-JAN-17,,PLANKTON,
420,39067,HB1603,0010,,11-JAN-17,,PLANKTON,
420,39068,HB1603,0011,,11-JAN-17,,PLANKTON,
420,39069,HB1603,0012,,11-JAN-17,,PLANKTON,
420,39070,HB1603,0014,,11-JAN-17,,PLANKTON,
420,39071,HB1603,0015,,11-JAN-17,,PLANKTON,
420,39072,HB1603,0016,,11-JAN-17,,PLANKTON,
420,39073,HB1603,0017,,11-JAN-17,,PLANKTON,
420,39074,HB1603,0018,,11-JAN-17,,PLANKTON,
420,39075,HB1603,0020,,11-JAN-17,,PLANKTON,
420,39076,HB1603,0021,,11-JAN-17,,PLANKTON,
420,39077,HB1603,0022,,11-JAN-17,,PLANKTON,
420,39078,HB1603,0023,,11-JAN-17,,PLANKTON,
420,39079,HB1603,0026,,11-JAN-17,,PLANKTON,
420,39080,HB1603,0027,,11-JAN-17,,PLANKTON,
420,39081,HB1603,0029,,11-JAN-17,,PLANKTON,
420,39082,HB1603,0030,,11-JAN-17,,PLANKTON,
420,39083,HB1603,0033,,11-JAN-17,,PLANKTON,
420,39084,HB1603,0035,,11-JAN-17,,PLANKTON,
420,39085,HB1603,0036,,11-JAN-17,,PLANKTON,
420,39086,HB1603,0037,,11-JAN-17,,PLANKTON,
420,39087,HB1603,0038,,11-JAN-17,,PLANKTON,
420,39088,HB1603,0042,,11-JAN-17,,PLANKTON,
420,39089,HB1603,0043,,11-JAN-17,,PLANKTON,
420,39090,HB1603,0044,,11-JAN-17,,PLANKTON,
420,39091,HB1603,0045,,11-JAN-17,,PLANKTON,
420,39092,HB1603,0049,,11-JAN-17,,PLANKTON,
420,39093,HB1603,0050,,11-JAN-17,,PLANKTON,
420,39094,HB1603,0051,,11-JAN-17,,PLANKTON,
420,39095,HB1603,0052,,11-JAN-17,,PLANKTON,
