STATION_PK_SEQ,EVENT_PK_SEQ,CRUISE_NAME,STATION,EVENT_NUMBER,OPERATION,EVENT_DATE,CTD_CAST_NUMBER,SITE_ID,LATITUDE,LONGITUDE,SURVEY_PERIOD,REGION,PLANKTON_STRATUM,GROUNDFISH_STRATUM,SURFACE_TEMPERATURE,SURFACE_TEMPERATURE_INSTRUMENT,TOW_PROFILE,TOW_PROTOCOL,TOW_TIME_DURATION,TOW_MAXIMUM_DEPTH,MAXIMUM_WIRE_OUT,BOTTOM_DEPTH_MAX_WIRE_OUT,EVENT_COMMENT,CNV_STRNUM,CNV_REG,CNV_SUBREG,CNV_OTHNUM,DOE,DOC,UOE,UOC,SAMPLING_PROGRAM,TimeDecimal,DayNight,Sunrise,Sunset
38820,70350,GU1608,229,244,BON/CTD,06/19/0016 09:37,205,229,37.8267,-72.5717,,MAB,54,NaN,23.65,C,OBL,OT,637,26,NaN,2911,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,9.61666666666667,Day,9.55061333333316,0.0506133333334977
38821,70351,GU1608,230,245,BON/CTD,06/19/0016 12:02,206,230,37.8,-73,,MAB,54,NaN,16.94,C,OBL,OT,594,28,NaN,2739,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,12.0333333333333,Day,9.57916666666648,0.0791666666668183
38822,70352,GU1608,231,246,BON/CTD,06/19/0016 14:09,207,231,37.4817,-73.1167,,MAB,54,NaN,24.26,C,OBL,OT,590,26,NaN,2916,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,14.15,Day,9.59528000000052,0.070280000000533
38823,70353,GU1608,232,247,BON/CTD,06/19/0016 16:50,208,232,37.1617,-73.24,,MAB,54,NaN,24.47,C,OBL,OT,727,26,NaN,2937,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,16.8333333333333,Day,9.62016666666665,0.070166666666349
38824,70354,GU1608,233,248,BON/CTD,06/19/0016 18:53,209,233,37.0017,-73.3017,,MAB,52,NaN,27.53,C,OBL,OT,745,26,NaN,3030,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,18.8833333333333,Day,9.6326133333335,0.0659466666667716
38825,70355,GU1608,234,249,BON/CTD,06/19/0016 20:59,210,234,37,-73.5,,MAB,52,NaN,25.98,C,OBL,OT,741,26,NaN,2862,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,20.9833333333333,Day,9.64583333333355,0.0791666666668183
38826,70356,GU1608,235,250,BON/CTD,06/19/0016 22:45,211,235,37.0017,-73.6983,,MAB,52,NaN,25.16,C,OBL,OT,607,26,NaN,2721,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,22.75,Day,9.65905333333291,0.0923866666661828
38827,70357,GU1608,236,251,BON/CTD,06/20/0016 00:22,212,236,37.0017,-73.8983,,MAB,52,NaN,24.62,C,OBL,OT,643,26,NaN,2490,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,0.366666666666667,Night,9.66405333333325,0.114053333332943
38828,70358,GU1608,237,252,BON/CTD,06/20/0016 01:32,213,237,36.8833,-73.93,,MAB,52,NaN,26.96,C,OBL,OT,607,26,NaN,2624,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,1.53333333333333,Night,9.67449999999969,0.107833333332959
38829,70359,GU1608,238,253,BON/CTD,06/20/0016 02:46,214,238,36.7683,-73.96,,MAB,52,NaN,27.17,C,OBL,OT,663,26,NaN,2628,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,2.76666666666667,Night,9.68483333333331,0.109833333333366
38830,70360,GU1608,239,254,BON/CTD,06/20/0016 04:40,215,239,36.65,-74.1517,,MAB,52,NaN,26.99,C,OBL,OT,700,26,NaN,2353,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,4.66666666666667,Night,9.6976133333331,0.114279999999947
38831,70361,GU1608,240,255,BON/CTD,06/20/0016 05:50,216,240,36.6483,-74.3017,,MAB,52,NaN,26.7,C,OBL,OT,651,26,NaN,2037,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,5.83333333333333,Night,9.70761333333309,0.124279999999938
38832,70362,GU1608,241,256,BON/CTD,06/20/0016 06:57,217,241,36.6483,-74.4517,,MAB,52,NaN,25.64,C,OBL,OT,621,26,NaN,1723,NaN,NaN,NaN,NaN,NaN,22-Jul-0016,22-Jul-0016,PLANKTON,PLANKTON,NaN,6.95,Night,9.71761333333308,0.134279999999929
39063,70594,HB1603,2,2,BON/CTD,06/28/0016 10:02,2,2,40.1833,-71.2833,,SNE,19,1060,17.19,C,OBL,OT,678,92,NaN,96,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,10.0333333333333,Day,9.30638666666693,0.173053333333367
39064,70595,HB1603,3,3,BON/CTD,06/28/0016 16:06,3,3,39.5667,-71.3817,,SNE,58,NaN,19.07,C,OBL,OT,1213,203,NaN,204,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,16.1,Day,9.34628000000027,0.146280000000327
39065,70596,HB1603,4,4,BON/CTD,06/28/0016 22:24,4,4,39.7267,-72.315,,SNE,15,1020,18.04,C,OBL,OT,802,97,NaN,101,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,22.4,Day,9.40016666666685,0.216833333333337
39066,70597,HB1603,9,9,BON/CTD,06/29/0016 23:14,9,9,38.9483,-71.7283,,SNE,58,NaN,21.52,C,OBL,OT,1120,203,NaN,2495,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,23.2333333333333,Day,9.40271999999965,0.144386666666545
39067,70598,HB1603,10,12,BON/CTD,06/30/0016 01:18,12,10,38.95,-71.52,,SNE,58,NaN,20.11,C,OBL,OT,1255,203,NaN,2600,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,1.3,Night,9.38883333333303,0.138833333333135
39068,70599,HB1603,11,13,BON/CTD,06/30/0016 02:53,13,11,38.9233,-71.305,,SNE,58,NaN,20.74,C,OBL,OT,1367,220,NaN,2778,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,2.88333333333333,Night,9.37449999999996,0.116166666666853
39069,70600,HB1603,12,16,BON/CTD,06/30/0016 04:53,16,12,38.9583,-71.0983,,SNE,58,NaN,19.5,C,OBL,OT,1683,203,NaN,2932,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,4.88333333333333,Night,9.36071999999996,0.110720000000068
39070,70601,HB1603,14,18,BON/CTD,06/30/0016 15:59,18,14,38.09,-71.8233,,MAB,56,NaN,23.66,C,OBL,OT,1172,196,NaN,196,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.9833333333333,Day,9.45071999999988,0.109053333333289
39071,70602,HB1603,15,19,BON/CTD,07/01/0016 00:23,19,15,37.405,-71.85,,,NaN,NaN,28.35,C,OBL,OT,1195,202,NaN,3399,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,0.383333333333333,Night,9.48583333333301,0.0858333333332515
39072,70603,HB1603,16,22,BON/CTD,07/01/0016 02:25,22,16,37.4133,-71.905,,,NaN,NaN,28.33,C,OBL,OT,1219,211,NaN,3351,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,2.41666666666667,Night,9.4895000000002,0.0895000000004378
39073,70604,HB1603,17,23,BON/CTD,07/01/0016 03:52,23,17,37.5483,-71.855,,,NaN,NaN,26.54,C,OBL,OT,1016,212,NaN,3290,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,3.86666666666667,Night,9.47783333333343,0.0945000000000922
39074,70605,HB1603,18,26,BON/CTD,07/01/0016 05:53,26,18,37.6867,-71.8517,,,NaN,NaN,22.63,C,OBL,OT,1321,204,NaN,3202,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,5.88333333333333,Night,9.4776133333333,0.102613333333178
39075,70606,HB1603,20,28,BON/CTD,07/01/0016 15:54,28,20,36.6333,-72.0967,,,NaN,NaN,25.33,C,OBL,OT,1323,201,NaN,3829,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.9,Day,9.54394666666673,0.0689466666667007
39076,70607,HB1603,21,29,BON/CTD,07/01/0016 23:10,29,21,37.29,-72.9717,,MAB,54,NaN,27.92,C,OBL,OT,2279,196,NaN,3046,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,23.1666666666667,Day,9.56894666666637,0.152280000000186
39077,70608,HB1603,22,31,BON/CTD,07/02/0016 08:30,31,22,38.2917,-73.985,,MAB,7,1700,21.26,C,OBL,OT,517,68,NaN,73,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,8.5,Night,9.58650000000017,0.278166666667115
39078,70609,HB1603,23,33,BON/CTD,07/02/0016 23:06,33,23,38.615,-72.8383,,MAB,56,NaN,21.98,C,OBL,OT,1272,204,NaN,2162,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,23.1,Day,9.49338666666683,0.218386666666614
39079,70610,HB1603,26,37,BON/CTD,07/03/0016 04:01,37,26,38.4067,-72.645,,MAB,56,NaN,21.7,C,OBL,OT,1109,204,NaN,2752,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,4.01666666666667,Night,9.48883333333362,0.197166666666984
39080,70611,HB1603,27,39,CTD/IKMT,07/03/0016 05:29,39,27,38.3283,-72.5267,,MAB,56,NaN,24.05,C,OBL,OT,376,22,NaN,2925,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,5.48333333333333,Night,9.48928000000007,0.18928000000022
39080,70612,HB1603,27,40,BON/CTD,07/03/0016 05:42,40,27,38.3217,-72.5267,,MAB,56,NaN,24.15,C,OBL,OT,1280,203,NaN,2928,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,5.7,Night,9.48928000000007,0.18928000000022
39081,70613,HB1603,29,42,BON/CTD,07/03/0016 16:00,42,29,39.2717,-72.8233,,SNE,15,1020,21.2,C,OBL,OT,402,75,NaN,83,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,16,Day,9.45905333333309,0.259053333333153
39082,70614,HB1603,30,43,BON/CTD,07/04/0016 00:15,43,30,39.215,-71.67,,SNE,58,NaN,21.16,C,OBL,OT,1029,203,NaN,2382,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,0.25,Night,9.39049999999981,0.182166666666656
39083,70615,HB1603,33,47,BON/CTD,07/04/0016 04:35,47,33,39.0483,-71.3467,,SNE,58,NaN,20.65,C,OBL,OT,1313,204,NaN,2808,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,4.58333333333333,Night,9.37727999999976,0.152280000000186
39084,70616,HB1603,35,50,BON/CTD,07/04/0016 15:57,50,35,38.74,-70.6833,,SNE,58,NaN,24.99,C,OBL,OT,1323,197,NaN,3000,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.95,Day,9.34971999999977,0.0913866666666612
39085,70617,HB1603,36,51,BON/CTD,07/04/0016 22:59,51,36,38.3833,-69.875,,,NaN,NaN,28.05,C,OBL,OT,1003,206,NaN,3529,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,22.9833333333333,Day,9.31249999999961,0.0208333333329695
39085,70618,HB1603,36,52,CTD/IKMT,07/04/0016 23:26,52,36,38.3967,-69.8383,,,NaN,NaN,27.95,C,OBL,OT,572,26,NaN,3520,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,23.4333333333333,Day,9.31005333333343,0.0183866666667958
39086,70619,HB1603,37,53,BON/CTD,07/05/0016 02:01,53,37,38.4383,-70.0817,,,NaN,NaN,27.56,C,OBL,OT,1278,203,NaN,3419,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,2.01666666666667,Night,9.3262799999996,0.0429466666661786
39086,70620,HB1603,37,54,CTD/IKMT,07/05/0016 02:29,54,37,38.435,-70.0583,,,NaN,NaN,27.61,C,OBL,OT,446,27,NaN,3434,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,2.48333333333333,Night,9.32472000000013,0.0413866666667066
39087,70621,HB1603,38,55,BON/CTD,07/05/0016 03:51,55,38,38.485,-70.1683,,,NaN,NaN,25.64,C,OBL,OT,1230,203,NaN,3326,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,3.85,Night,9.32371999999993,0.048719999999715
39087,70622,HB1603,38,56,CTD/IKMT,07/05/0016 04:17,56,38,38.48,-70.1533,,,NaN,NaN,24.94,C,OBL,OT,406,28,NaN,3338,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,4.28333333333333,Night,9.32271999999972,0.0477199999995113
39088,70623,HB1603,42,60,BON/CTD,07/06/0016 15:59,60,42,37.8367,-68.9317,,,NaN,NaN,27.69,C,OBL,OT,1300,203,NaN,4124,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.9833333333333,Day,9.28294666666676,23.9412800000002
39089,70624,HB1603,43,61,BON/CTD,07/06/0016 22:57,61,43,37.6683,-68.24,,,NaN,NaN,28.38,C,OBL,OT,1435,205,NaN,4708,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,22.95,Day,9.24516666666665,23.8868333333336
39089,70625,HB1603,43,62,CTD/IKMT,07/06/0016 23:32,62,43,37.6467,-68.2433,,,NaN,NaN,28.37,C,OBL,OT,437,27,NaN,4719,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,23.5333333333333,Day,9.24538666666678,23.8870533333338
39090,70626,HB1603,44,63,BON/CTD,07/07/0016 00:41,63,44,37.5,-68.2983,,,NaN,NaN,26.06,C,OBL,OT,1208,203,NaN,4766,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,0.683333333333333,Night,9.25738666666649,23.8823866666664
39090,70627,HB1603,44,64,CTD/IKMT,07/07/0016 01:07,64,44,37.4833,-68.29,,,NaN,NaN,25.52,C,OBL,OT,403,28,NaN,4774,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,1.11666666666667,Night,9.25683333333342,23.8818333333333
39091,70628,HB1603,45,66,BON/CTD,07/07/0016 02:35,66,45,37.3567,-68.2767,,,NaN,NaN,26.64,C,OBL,OT,1216,201,NaN,4831,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,2.58333333333333,Night,9.26427999999993,23.8726133333334
39091,70629,HB1603,45,67,CTD/IKMT,07/07/0016 03:00,67,45,37.3467,-68.26,,,NaN,NaN,26.33,C,OBL,OT,404,28,NaN,4838,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,3,Night,9.26316666666623,23.8714999999997
39092,70630,HB1603,49,71,BON/CTD,07/07/0016 15:50,71,49,38.2567,-68.11,,,NaN,NaN,27.8,C,OBL,OT,1641,201,NaN,4406,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.8333333333333,Day,9.20316666666628,23.9114999999996
39093,70631,HB1603,50,72,BON/CTD,07/07/0016 23:40,72,50,39.0667,-67.9033,,,NaN,NaN,25.62,C,OBL,OT,1505,204,NaN,3629,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,23.6666666666667,Day,9.14771999999954,23.9393866666664
39093,70632,HB1603,50,73,CTD/IKMT,07/08/0016 00:10,73,50,39.0433,-67.9167,,,NaN,NaN,25.56,C,OBL,OT,612,21,NaN,3724,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,0.166666666666667,Night,9.15694666666701,23.94028
39094,70633,HB1603,51,74,CTD/IKMT,07/08/0016 01:14,74,51,38.9117,-67.9417,,,NaN,NaN,25.56,C,OBL,OT,392,23,NaN,3793,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,1.23333333333333,Night,9.16694666666701,23.9336133333335
39094,70634,HB1603,51,75,BON/CTD,07/08/0016 01:25,75,51,38.905,-67.9433,,,NaN,NaN,25.56,C,OBL,OT,1052,205,NaN,3805,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,1.41666666666667,Night,9.16705333333363,23.9337200000002
39095,70635,HB1603,52,76,BON/CTD,07/08/0016 02:34,76,52,38.775,-67.9783,,,NaN,NaN,25.67,C,OBL,OT,1096,205,NaN,4053,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,2.56666666666667,Night,9.1777200000002,23.9277200000003
39095,70636,HB1603,52,77,CTD/IKMT,07/08/0016 02:56,77,52,38.7683,-67.9867,,,NaN,NaN,25.62,C,OBL,OT,381,27,NaN,4059,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,2.93333333333333,Night,9.17828000000015,23.9282800000003
39096,70637,HB1603,53,78,BON/CTD,07/08/0016 04:00,78,53,38.6517,-68.0033,,,NaN,NaN,25.85,C,OBL,OT,1207,204,NaN,4170,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,4,Night,9.17938666666698,23.9293866666671
39096,70638,HB1603,53,79,CTD/IKMT,07/08/0016 04:25,79,53,38.64,-68.0017,,,NaN,NaN,25.81,C,OBL,OT,412,27,NaN,4179,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,4.41666666666667,Night,9.18761333333288,23.9209466666666
39097,70639,HB1603,56,82,BON/CTD,07/08/0016 15:51,82,56,39.6233,-67.7683,,,NaN,NaN,23.15,C,OBL,OT,1300,202,NaN,3000,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.85,Day,9.11372000000012,23.9637200000001
39098,70640,HB1603,57,83,BON/CTD,07/08/0016 23:37,83,57,40.425,-67.6883,,GB,26,1150,20.24,C,OBL,OT,1185,170,NaN,220,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,23.6166666666667,Day,9.06672000000009,5.3333333592794e-05
39099,70641,HB1603,59,85,BON/CTD,07/11/0016 09:02,85,59,40.08,-72.85,,SNE,16,1010,22.31,C,OBL,OT,501,50,NaN,53,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,9.03333333333333,Night,9.44416666666695,0.327499999999812
39100,70642,HB1603,60,87,BON/CTD,07/11/0016 15:58,87,60,39.5433,-73.97,,MAB,13,3200,23.64,C,OBL,OT,345,19,NaN,26,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.9666666666667,Day,9.55216666666644,0.37716666666682
39101,70643,HB1603,61,88,BON/CTD,07/11/0016 23:46,88,61,39.1117,-74.4917,,MAB,12,3230,24.02,C,OBL,OT,411,16,NaN,22,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,23.7666666666667,Day,9.60361333333373,0.386946666666684
39102,70644,HB1603,66,93,BON/CTD,07/12/0016 09:04,93,66,38.69,-74.5767,,MAB,8,1690,24.16,C,OBL,OT,391,28,NaN,33,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,9.06666666666667,Night,9.64261333333349,0.37594666666649
39103,70645,HB1603,67,95,BON/CTD,07/12/0016 15:53,95,67,38.415,-74.8333,,MAB,9,3290,22.51,C,OBL,OT,390,16,NaN,22,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.8833333333333,Day,9.66805333333338,0.376386666666743
39104,70646,HB1603,68,96,BON/CTD,07/12/0016 22:12,96,68,38.605,-74.0417,,MAB,8,1690,24.57,C,OBL,OT,455,52,NaN,55,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,22.2,Day,9.60694666666729,0.331946666667075
39105,70647,HB1603,69,97,BON/CTD,07/13/0016 08:27,97,69,39.5333,-72.63,,SNE,15,1020,21.26,C,OBL,OT,524,79,NaN,83,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,8.45,Night,9.47116666666699,0.287833333333477
39106,70648,HB1603,70,99,BON/CTD,07/13/0016 15:54,99,70,39.38,-71.6883,,SNE,58,NaN,23.94,C,OBL,OT,1200,203,NaN,2200,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.9,Day,9.41671999999977,0.216719999999835
39107,70649,HB1603,71,100,BON/CTD,07/13/0016 22:32,100,71,39.8317,-71.5283,,SNE,60,NaN,22.84,C,OBL,OT,1377,202,NaN,550,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,22.5333333333333,Day,9.38105333333289,0.231053333332905
39108,70650,HB1603,72,101,BON/CTD,07/19/0016 09:01,101,72,40.2017,-71.2983,,SNE,19,1060,23.04,C,OBL,OT,698,92,NaN,96,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,9.01666666666667,Night,9.39071999999993,0.232386666666738
39109,70651,HB1603,73,103,BON/CTD,07/19/0016 16:01,103,73,39.6067,-70.49,,SNE,60,NaN,25.01,C,OBL,OT,1457,215,NaN,216,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,16.0166666666667,Day,9.37016666666688,0.145166666666622
39110,70652,HB1603,74,104,BON/CTD,07/19/0016 21:49,104,74,40.1933,-70.385,,SNE,22,1110,23.57,C,OBL,OT,707,113,NaN,117,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,21.8166666666667,Day,9.32983333333329,0.17150000000009
39111,70653,HB1603,79,109,BON/CTD,07/20/0016 15:48,109,79,39.7983,-69.4833,,SNE,61,NaN,25.35,C,OBL,OT,1174,203,NaN,204,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.8,Day,9.30305333333337,0.0863866666663246
39112,70654,HB1603,80,110,BON/CTD,07/20/0016 22:53,110,80,40.1383,-68.805,,SNE,22,1110,20.28,C,OBL,OT,1079,172,NaN,183,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,22.8833333333333,Day,9.24116666666652,0.0578333333330041
39113,70655,HB1603,85,115,BON/CTD,07/21/0016 15:47,115,85,40.3317,-68.1267,,GB,62,NaN,19.84,C,OBL,OT,1190,200,NaN,951,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.7833333333333,Day,9.19594666666677,0.0209466666671536
39114,70656,HB1603,86,116,BON/CTD,07/21/0016 22:57,116,86,40.2667,-67.4983,,GB,62,NaN,21.89,C,OBL,OT,1521,202,NaN,1384,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,22.95,Day,9.15405333333303,23.9707199999995
39115,70657,HB1603,88,118,CTD/IKMT,07/22/0016 08:07,118,88,40.0067,-67.6533,,GB,62,NaN,22.32,C,OBL,OT,615,21,NaN,2832,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,8.11666666666667,Night,9.18938666666697,23.9643866666667
39115,70658,HB1603,88,119,BON/CTD,07/22/0016 08:24,119,88,39.9967,-67.6533,,GB,62,NaN,22.32,C,OBL,OT,1333,204,NaN,2897,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,8.4,Night,9.18938666666697,23.9643866666667
39116,70659,HB1603,89,121,BON/CTD,07/22/0016 15:47,121,89,39.6967,-66.6117,,,NaN,NaN,23.56,C,OBL,OT,1120,202,NaN,4200,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,15.7833333333333,Day,9.1366133333334,23.8782800000003
39117,70660,HB1603,90,122,BON/CTD,07/22/0016 23:05,122,90,39.3933,-65.6217,,,NaN,NaN,27.41,C,OBL,OT,1414,212,NaN,4437,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,23.0833333333333,Day,9.08728000000002,23.8039466666673
39117,70661,HB1603,90,123,CTD/IKMT,07/22/0016 23:33,123,90,39.3933,-65.6167,,,NaN,NaN,27.44,C,OBL,OT,431,26,NaN,4424,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,23.55,Day,9.0869466666664,23.8036133333337
39118,70662,HB1603,95,128,BON/CTD,07/24/0016 10:04,128,95,40.15,-67.2167,,GB,62,NaN,22.28,C,OBL,OT,1214,201,NaN,1800,NaN,NaN,NaN,NaN,NaN,11-Jan-0017,11-Jan-0017,PLANKTON,PLANKTON,NaN,10.0666666666667,Day,9.1686133333331,23.9352799999996
