"Cruise","Station","Gear","Fish","Length","LatDec","LonDec","DateTime","SST"
"HB1603",50,"2N3",2,4.35,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",7,3.55,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",4,4.23,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",1,4.08,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",6,3.93,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",15,3.95,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",8,4.83,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",5,3.77,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",14,3.84,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",19,3.83,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",16,4.33,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",17,3.47,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",18,3.88,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",23,4.08,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",20,4.7,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",21,3.37,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",22,4.29,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",27,4.17,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",28,4.08,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",29,4.03,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",30,4.56,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",31,4.66,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",32,4.31,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",33,4.13,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",34,3.63,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",35,3.3,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",36,3.7,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",37,4.13,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",38,3.23,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",39,4.66,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",40,4.02,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",41,4.12,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",42,4.09,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",43,3.84,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",44,4.01,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",45,3.3,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",46,3.34,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",47,4.39,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",48,3.95,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",9,3.58,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",10,4.1,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",11,3.54,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",12,3.59,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",13,4.2,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",49,3.37,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",24,4.29,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",25,4.3,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"2N3",26,2.12,39.0433333333333,67.9166666666667,2016-07-08 00:10:40,25.56
"HB1603",50,"6B3I",1,4.6669,39.0666666666667,67.9033333333333,2016-07-07 23:40:23,25.62
"HB1603",50,"6B3I",2,4.2332,39.0666666666667,67.9033333333333,2016-07-07 23:40:23,25.62
"HB1603",50,"6B3I",3,4.1384,39.0666666666667,67.9033333333333,2016-07-07 23:40:23,25.62
"HB1603",51,"2N3",3,5.49,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",4,3.85,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",2,4.42,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",7,4.11,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",8,3.47,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",5,3.7,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",6,3.63,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",11,4.03,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",12,3.85,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",9,4.61,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",10,3.74,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",15,4.05,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",16,3.78,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",17,4.1,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",13,4.02,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",14,3.29,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",20,4.4,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",1,4.99,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",18,3.2,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"2N3",19,4,38.9116666666667,67.9416666666667,2016-07-08 01:14:01,25.56
"HB1603",51,"6B3I",1,3.6631,38.905,67.9433333333333,2016-07-08 01:26:08,25.56
"HB1603",52,"6B3I",1,4.1683,38.775,67.9783333333333,2016-07-08 02:34:40,25.67
"HB1603",53,"6B3I",1,4.5737,38.6516666666667,68.0033333333333,2016-07-08 04:00:47,25.85
"HB1603",53,"6B3I",2,2.5379,38.6516666666667,68.0033333333333,2016-07-08 04:00:47,25.85
"HB1603",53,"6B3I",3,4.3635,38.6516666666667,68.0033333333333,2016-07-08 04:00:47,25.85
"HB1603",53,"6B3I",4,4.6544,38.6516666666667,68.0033333333333,2016-07-08 04:00:47,25.85
"HB1603",53,"6B3I",5,2.8352,38.6516666666667,68.0033333333333,2016-07-08 04:00:47,25.85
"HB1603",53,"6B3I",6,2.7944,38.6516666666667,68.0033333333333,2016-07-08 04:00:47,25.85
"HB1603",68,"6B3I",1,3.2629,38.605,74.0416666666667,2016-07-12 22:12:29,24.57
"HB1603",70,"6B3I",1,2.833,39.38,71.6883333333333,2016-07-13 15:54:49,23.94
"GU1608",229,"6B3I",NA,3.3,37.8266666666667,72.5716666666667,2016-06-19 09:37:21,23.65
